channel,weekly_spend,weekly_input_value,input_unit,mean_nrx_contribution,p10_nrx_contribution,p90_nrx_contribution,current_spend_flag
field,733.3,8.63,calls,102.1,90.9,113.97,False
email,0.0,0.0,dollars,0.0,0.0,0.0,False
email,1.6,1.58,dollars,0.84,0.02,2.36,False
email,3.2,3.16,dollars,1.84,0.1,4.78,False
email,4.7,4.74,dollars,2.93,0.3,7.16,False
email,6.3,6.33,dollars,4.1,0.64,9.57,False
email,7.9,7.91,dollars,5.32,1.14,11.68,False
email,9.5,9.49,dollars,6.56,1.8,13.87,False
email,11.1,11.07,dollars,7.81,2.6,15.64,False
email,12.7,12.65,dollars,9.07,3.54,17.1,False
email,14.2,14.23,dollars,10.31,4.59,18.94,False
email,15.8,15.82,dollars,11.52,5.59,20.53,False
email,17.4,17.4,dollars,12.7,6.55,21.7,False
email,19.0,18.98,dollars,13.84,7.64,22.82,True
email,20.6,20.56,dollars,14.94,8.68,23.98,True
email,22.1,22.14,dollars,15.98,9.79,24.94,False
email,23.7,23.72,dollars,16.98,10.77,25.92,False
email,25.3,25.31,dollars,17.92,11.54,26.76,False
email,26.9,26.89,dollars,18.81,12.55,27.51,False
email,28.5,28.47,dollars,19.66,13.33,28.21,False
email,30.1,30.05,dollars,20.45,14.16,28.86,False
email,31.6,31.63,dollars,21.2,14.89,29.46,False
email,33.2,33.21,dollars,21.9,15.63,30.01,False
email,34.8,34.8,dollars,22.56,16.3,30.58,False
email,36.4,36.38,dollars,23.18,17.07,31.24,False
email,38.0,37.96,dollars,23.77,17.62,31.81,False
email,39.5,39.54,dollars,24.32,18.16,32.27,False
email,41.1,41.12,dollars,24.84,18.63,32.68,False
email,42.7,42.7,dollars,25.33,19.01,33.1,False
email,44.3,44.29,dollars,25.79,19.47,33.55,False
email,45.9,45.87,dollars,26.22,19.84,34.06,False
email,47.4,47.45,dollars,26.63,20.26,34.47,False
email,49.0,49.03,dollars,27.02,20.6,34.87,False
email,50.6,50.61,dollars,27.38,20.84,35.25,False
email,52.2,52.19,dollars,27.73,21.18,35.58,False
email,53.8,53.78,dollars,28.06,21.45,35.8,False
email,55.4,55.36,dollars,28.37,21.78,36.02,False
email,56.9,56.94,dollars,28.67,22.08,36.22,False
email,58.5,58.52,dollars,28.95,22.29,36.45,False
email,60.1,60.1,dollars,29.22,22.49,36.77,False
email,61.7,61.68,dollars,29.48,22.67,36.99,False
email,63.3,63.27,dollars,29.72,22.89,37.15,False
email,64.8,64.85,dollars,29.95,23.08,37.33,False
email,66.4,66.43,dollars,30.17,23.26,37.53,False
email,68.0,68.01,dollars,30.39,23.43,37.71,False
email,69.6,69.59,dollars,30.59,23.56,37.9,False
email,71.2,71.17,dollars,30.78,23.72,38.19,False
email,72.8,72.76,dollars,30.97,23.83,38.43,False
email,74.3,74.34,dollars,31.15,23.96,38.72,False
email,75.9,75.92,dollars,31.32,24.03,38.91,False
email,77.5,77.5,dollars,31.48,24.17,39.1,False
digital,0.0,0.0,dollars,0.0,0.0,0.0,False
digital,3.6,3.65,dollars,0.32,0.02,1.07,False
digital,7.3,7.3,dollars,0.82,0.09,2.61,False
digital,10.9,10.94,dollars,1.45,0.25,4.26,False
digital,14.6,14.59,dollars,2.2,0.47,5.77,False
digital,18.2,18.24,dollars,3.04,0.77,7.28,False
digital,21.9,21.89,dollars,3.97,1.09,8.68,False
digital,25.5,25.54,dollars,4.96,1.54,10.47,False
digital,29.2,29.18,dollars,6.0,2.02,11.85,False
digital,32.8,32.83,dollars,7.09,2.59,13.29,False
digital,36.5,36.48,dollars,8.21,3.17,14.88,False
digital,40.1,40.13,dollars,9.35,3.77,16.76,False
digital,43.8,43.78,dollars,10.5,4.36,18.28,False
digital,47.4,47.42,dollars,11.65,4.95,19.68,False
digital,51.1,51.07,dollars,12.8,5.61,20.99,False
digital,54.7,54.72,dollars,13.94,6.27,22.3,False
digital,58.4,58.37,dollars,15.06,6.91,23.66,False
digital,62.0,62.02,dollars,16.16,7.56,25.3,False
digital,65.7,65.66,dollars,17.23,8.23,26.62,False
digital,69.3,69.31,dollars,18.28,8.91,27.88,False
digital,73.0,72.96,dollars,19.3,9.62,28.86,False
digital,76.6,76.61,dollars,20.29,10.21,29.94,False
digital,80.3,80.26,dollars,21.24,10.88,31.07,True
digital,83.9,83.9,dollars,22.16,11.46,32.01,True
digital,87.6,87.55,dollars,23.05,12.05,33.38,True
digital,91.2,91.2,dollars,23.9,12.5,34.49,True
digital,94.8,94.85,dollars,24.73,12.9,35.5,True
digital,98.5,98.49,dollars,25.52,13.39,36.63,False
digital,102.1,102.14,dollars,26.27,13.89,37.79,False
digital,105.8,105.79,dollars,27.0,14.35,38.78,False
digital,109.4,109.44,dollars,27.7,14.8,39.62,False
digital,113.1,113.09,dollars,28.36,15.24,40.07,False
digital,116.7,116.73,dollars,29.0,15.65,40.61,False
digital,120.4,120.38,dollars,29.61,15.88,41.55,False
digital,124.0,124.03,dollars,30.2,16.15,42.47,False
digital,127.7,127.68,dollars,30.76,16.55,43.29,False
digital,131.3,131.33,dollars,31.3,16.96,43.87,False
digital,135.0,134.97,dollars,31.81,17.34,44.69,False
digital,138.6,138.62,dollars,32.31,17.58,45.33,False
digital,142.3,142.27,dollars,32.78,17.87,45.89,False
digital,145.9,145.92,dollars,33.23,18.1,46.63,False
digital,149.6,149.57,dollars,33.67,18.3,47.37,False
digital,153.2,153.21,dollars,34.08,18.49,48.07,False
digital,156.9,156.86,dollars,34.48,18.73,48.7,False
digital,160.5,160.51,dollars,34.86,19.05,49.19,False
digital,164.2,164.16,dollars,35.23,19.36,49.78,False
digital,167.8,167.81,dollars,35.58,19.6,50.34,False
digital,171.5,171.45,dollars,35.92,19.73,50.82,False
digital,175.1,175.1,dollars,36.24,19.99,51.39,False
digital,178.8,178.75,dollars,36.56,20.08,51.65,False
paid_media,0.0,0.0,dollars,0.0,0.0,0.0,False
paid_media,5.0,4.97,dollars,0.56,0.11,1.26,False
paid_media,9.9,9.95,dollars,1.91,0.61,3.75,False
paid_media,14.9,14.92,dollars,3.94,1.63,6.9,False
paid_media,19.9,19.9,dollars,6.55,3.22,10.57,False
paid_media,24.9,24.87,dollars,9.65,5.42,14.53,False
paid_media,29.8,29.85,dollars,13.1,8.01,18.72,False
paid_media,34.8,34.82,dollars,16.8,11.1,23.16,False
paid_media,39.8,39.8,dollars,20.64,14.65,27.22,False
paid_media,44.8,44.77,dollars,24.51,18.38,31.35,False
paid_media,49.7,49.74,dollars,28.34,22.16,35.37,False
paid_media,54.7,54.72,dollars,32.07,25.66,39.0,False
paid_media,59.7,59.69,dollars,35.64,29.32,42.43,False
paid_media,64.7,64.67,dollars,39.03,32.96,45.63,False
paid_media,69.6,69.64,dollars,42.22,36.39,48.58,False
paid_media,74.6,74.62,dollars,45.19,39.56,51.38,False
paid_media,79.6,79.59,dollars,47.95,42.5,53.8,False
paid_media,84.6,84.57,dollars,50.5,45.16,56.1,False
paid_media,89.5,89.54,dollars,52.86,47.68,58.34,False
paid_media,94.5,94.52,dollars,55.03,49.91,60.5,False
paid_media,99.5,99.49,dollars,57.02,51.99,62.36,False
paid_media,104.5,104.46,dollars,58.86,53.74,64.02,True
paid_media,109.4,109.44,dollars,60.55,55.51,65.71,True
paid_media,114.4,114.41,dollars,62.1,57.1,67.15,True
paid_media,119.4,119.39,dollars,63.52,58.45,68.67,True
paid_media,124.4,124.36,dollars,64.84,59.58,69.96,True
paid_media,129.3,129.34,dollars,66.05,60.78,71.08,False
paid_media,134.3,134.31,dollars,67.16,61.73,72.2,False
paid_media,139.3,139.29,dollars,68.19,62.57,73.21,False
paid_media,144.3,144.26,dollars,69.15,63.54,74.15,False
paid_media,149.2,149.23,dollars,70.03,64.3,75.06,False
paid_media,154.2,154.21,dollars,70.85,65.08,75.91,False
paid_media,159.2,159.18,dollars,71.61,65.82,76.9,False
paid_media,164.2,164.16,dollars,72.32,66.39,77.74,False
paid_media,169.1,169.13,dollars,72.98,67.05,78.41,False
paid_media,174.1,174.11,dollars,73.59,67.7,79.05,False
paid_media,179.1,179.08,dollars,74.16,68.14,79.74,False
paid_media,184.1,184.06,dollars,74.7,68.59,80.33,False
paid_media,189.0,189.03,dollars,75.2,69.11,80.94,False
paid_media,194.0,194.01,dollars,75.67,69.54,81.58,False
paid_media,199.0,198.98,dollars,76.11,69.96,81.96,False
paid_media,204.0,203.95,dollars,76.52,70.34,82.4,False
paid_media,208.9,208.93,dollars,76.91,70.71,82.92,False
paid_media,213.9,213.9,dollars,77.28,71.11,83.39,False
paid_media,218.9,218.88,dollars,77.62,71.45,83.82,False
paid_media,223.9,223.85,dollars,77.95,71.76,84.21,False
paid_media,228.8,228.83,dollars,78.26,72.02,84.64,False
paid_media,233.8,233.8,dollars,78.55,72.2,85.05,False
paid_media,238.8,238.78,dollars,78.82,72.46,85.42,False
paid_media,243.8,243.75,dollars,79.08,72.7,85.77,False
