draw,nrmse,decomp_rssd,digital_contribution,digital_pct_error,pareto_efficient
2061,0.02678,0.16837,23.9,-17.6,False
1584,0.02679,0.19906,35.41,22.1,False
1397,0.02679,0.20987,26.43,-8.8,False
1387,0.0268,0.22818,26.53,-8.5,False
2304,0.0268,0.19225,27.71,-4.4,False
1930,0.0268,0.21415,16.92,-41.6,False
1694,0.0268,0.22818,26.53,-8.5,False
2267,0.02681,0.20025,26.25,-9.4,False
1057,0.02681,0.21544,32.28,11.4,False
2169,0.02681,0.20025,26.25,-9.4,False
1083,0.02682,0.17386,15.84,-45.3,False
2187,0.02682,0.16658,21.98,-24.2,False
885,0.02682,0.17704,19.98,-31.1,False
854,0.02683,0.19519,36.15,24.7,False
1610,0.02683,0.21454,25.72,-11.3,False
683,0.02683,0.19519,36.15,24.7,False
2220,0.02683,0.18578,29.9,3.2,False
2091,0.02683,0.25219,26.91,-7.2,False
2022,0.02684,0.17987,24.4,-15.8,False
1290,0.02684,0.1786,23.09,-20.3,False
352,0.02684,0.20084,28.24,-2.6,False
1089,0.02684,0.18785,27.8,-4.1,False
279,0.02685,0.21589,28.24,-2.6,False
2245,0.02685,0.24685,29.09,0.3,False
1697,0.02685,0.18036,26.17,-9.7,False
1462,0.02685,0.19412,30.25,4.3,False
55,0.02686,0.18586,14.5,-50.0,False
915,0.02686,0.20953,24.42,-15.8,False
1325,0.02686,0.19554,29.78,2.7,False
228,0.02686,0.17691,27.33,-5.7,False
1612,0.02687,0.20205,28.11,-3.0,False
1625,0.02687,0.23106,25.44,-12.2,False
260,0.02687,0.15261,29.49,1.7,True
1654,0.02687,0.16528,27.46,-5.3,False
1482,0.02687,0.16528,27.46,-5.3,False
1119,0.02687,0.19656,23.65,-18.4,False
2393,0.02688,0.21029,32.98,13.8,False
2150,0.02689,0.1931,14.13,-51.3,False
1707,0.02689,0.23356,26.39,-9.0,False
1624,0.02689,0.23356,26.39,-9.0,False
316,0.02689,0.17344,19.38,-33.2,False
1718,0.02689,0.19146,33.35,15.0,False
797,0.02689,0.19146,33.35,15.0,False
1251,0.02689,0.19354,22.3,-23.1,False
2116,0.02689,0.2056,29.52,1.8,False
487,0.0269,0.22287,12.23,-57.8,False
1078,0.0269,0.20718,14.65,-49.5,False
199,0.0269,0.15949,24.51,-15.5,False
372,0.0269,0.22287,12.23,-57.8,False
518,0.0269,0.21495,17.03,-41.2,False
1980,0.02691,0.18382,26.91,-7.2,False
896,0.02691,0.18912,16.8,-42.1,False
637,0.02691,0.23817,32.88,13.4,False
2311,0.02692,0.23038,26.91,-7.2,False
1428,0.02692,0.19414,26.43,-8.8,False
768,0.02693,0.20177,27.49,-5.2,False
1647,0.02693,0.24287,40.72,40.5,False
1933,0.02693,0.2203,33.49,15.5,False
962,0.02694,0.21346,29.03,0.1,False
937,0.02694,0.20473,27.63,-4.7,False
153,0.02694,0.22543,26.45,-8.7,False
65,0.02695,0.21772,28.56,-1.5,False
2115,0.02695,0.20744,16.0,-44.8,False
889,0.02695,0.20744,16.0,-44.8,False
1399,0.02696,0.19082,28.21,-2.7,False
1456,0.02696,0.20058,13.04,-55.0,False
1672,0.02697,0.20418,23.57,-18.7,False
1521,0.02697,0.17338,24.68,-14.9,False
197,0.02697,0.26752,39.66,36.8,False
2390,0.02697,0.17986,15.38,-47.0,False
1767,0.02697,0.19068,20.48,-29.3,False
985,0.02698,0.21307,28.69,-1.0,False
9,0.02698,0.19281,28.23,-2.6,False
1897,0.02698,0.19281,28.23,-2.6,False
2048,0.02698,0.21307,28.69,-1.0,False
1895,0.02698,0.19243,27.7,-4.4,False
2374,0.02698,0.1933,26.72,-7.8,False
1941,0.02698,0.20121,27.51,-5.1,False
1741,0.02699,0.2179,27.0,-6.9,False
1642,0.02699,0.22808,17.97,-38.0,False
2377,0.02699,0.18909,26.29,-9.3,False
1321,0.02699,0.18833,23.44,-19.2,False
1598,0.027,0.20797,16.9,-41.7,False
1885,0.027,0.24048,21.7,-25.1,False
1919,0.027,0.1858,16.58,-42.8,False
2109,0.027,0.20218,16.75,-42.2,False
965,0.027,0.20501,16.66,-42.5,False
1514,0.027,0.25118,41.55,43.3,False
848,0.02701,0.18426,28.76,-0.8,False
981,0.02701,0.24837,41.75,44.0,False
1910,0.02701,0.17832,21.44,-26.0,False
2301,0.02701,0.17305,28.83,-0.5,False
308,0.02701,0.17832,21.44,-26.0,False
230,0.02702,0.18124,30.97,6.8,False
732,0.02702,0.20354,22.59,-22.1,False
1203,0.02702,0.20085,30.42,4.9,False
1403,0.02702,0.24901,30.09,3.8,False
2205,0.02702,0.19363,15.9,-45.2,False
2146,0.02703,0.19796,28.24,-2.6,False
1661,0.02703,0.15312,24.86,-14.2,False
777,0.02704,0.21456,33.27,14.8,False
1068,0.02704,0.17747,30.31,4.5,False
521,0.02704,0.16352,21.17,-27.0,False
614,0.02704,0.25815,32.29,11.4,False
2049,0.02704,0.18949,25.1,-13.4,False
976,0.02704,0.17622,21.36,-26.3,False
1142,0.02704,0.25815,32.29,11.4,False
290,0.02705,0.22359,22.06,-23.9,False
1556,0.02705,0.18631,17.78,-38.7,False
1607,0.02705,0.17826,29.22,0.8,False
894,0.02705,0.21986,23.31,-19.6,False
1750,0.02705,0.20195,27.76,-4.3,False
1740,0.02705,0.237,38.56,33.0,False
1449,0.02705,0.19563,23.52,-18.9,False
1249,0.02706,0.18721,25.12,-13.3,False
2244,0.02706,0.19264,25.72,-11.3,False
120,0.02706,0.17835,13.78,-52.5,False
1539,0.02706,0.17126,17.95,-38.1,False
680,0.02706,0.19264,25.72,-11.3,False
1352,0.02706,0.22235,25.2,-13.1,False
1434,0.02707,0.18387,14.49,-50.0,False
2382,0.02707,0.21755,14.55,-49.8,False
659,0.02707,0.20983,16.04,-44.7,False
1004,0.02707,0.18589,16.82,-42.0,False
2364,0.02707,0.28348,21.11,-27.2,False
2133,0.02707,0.21755,14.55,-49.8,False
387,0.02707,0.16354,20.26,-30.1,False
1355,0.02708,0.22471,23.23,-19.9,False
838,0.02708,0.22214,24.91,-14.1,False
1676,0.02708,0.22056,21.94,-24.3,False
1497,0.02708,0.181,29.18,0.6,False
100,0.02708,0.20364,28.9,-0.3,False
1912,0.02709,0.1757,20.57,-29.1,False
2172,0.02709,0.18642,24.78,-14.5,False
191,0.02709,0.16594,18.25,-37.0,False
238,0.02709,0.28005,21.73,-25.0,False
514,0.02709,0.16651,24.6,-15.1,False
1566,0.0271,0.21106,11.82,-59.2,False
2161,0.0271,0.23384,36.24,25.0,False
1017,0.0271,0.20681,21.6,-25.5,False
1326,0.0271,0.19935,24.67,-14.9,False
1173,0.02711,0.18013,25.13,-13.3,False
953,0.02711,0.20123,14.43,-50.2,False
868,0.02711,0.18216,22.24,-23.3,False
1071,0.02711,0.17974,31.26,7.8,False
1668,0.02712,0.17526,23.18,-20.0,False
464,0.02712,0.20763,23.05,-20.5,False
1301,0.02712,0.2024,23.14,-20.2,False
91,0.02712,0.27178,19.54,-32.6,False
1151,0.02712,0.20092,17.53,-39.5,False
875,0.02712,0.20092,17.53,-39.5,False
208,0.02712,0.16635,20.75,-28.4,False
1785,0.02712,0.21323,16.67,-42.5,False
1602,0.02712,0.20862,27.11,-6.5,False
627,0.02713,0.15299,23.89,-17.6,False
1779,0.02713,0.23145,45.64,57.4,False
414,0.02713,0.20933,23.68,-18.3,False
973,0.02713,0.2277,32.76,13.0,False
1804,0.02714,0.2061,26.66,-8.1,False
36,0.02714,0.18174,20.07,-30.8,False
174,0.02714,0.19052,25.99,-10.4,False
411,0.02714,0.2061,26.66,-8.1,False
1315,0.02714,0.18174,20.07,-30.8,False
183,0.02714,0.22467,24.79,-14.5,False
2095,0.02714,0.1818,20.64,-28.8,False
1653,0.02714,0.22606,20.92,-27.8,False
526,0.02714,0.17505,33.81,16.6,False
1241,0.02714,0.22467,24.79,-14.5,False
66,0.02715,0.26449,30.62,5.6,False
2212,0.02715,0.16836,22.3,-23.1,False
1464,0.02715,0.19477,12.72,-56.1,False
1122,0.02715,0.17798,14.61,-49.6,False
1084,0.02715,0.23209,24.37,-16.0,False
639,0.02715,0.14971,29.76,2.6,True
8,0.02715,0.20954,41.56,43.3,False
1998,0.02715,0.21108,25.81,-11.0,False
2338,0.02716,0.18788,22.09,-23.8,False
1988,0.02716,0.20774,25.23,-13.0,False
1974,0.02717,0.20653,23.29,-19.7,False
337,0.02717,0.21186,11.69,-59.7,False
2316,0.02717,0.20692,28.97,-0.1,False
622,0.02717,0.21336,27.48,-5.2,False
673,0.02717,0.25581,20.65,-28.8,False
150,0.02717,0.17465,25.36,-12.5,False
1763,0.02718,0.25628,41.04,41.6,False
1572,0.02718,0.26885,13.74,-52.6,False
644,0.02718,0.19915,20.68,-28.7,False
741,0.02718,0.19649,15.77,-45.6,False
1435,0.02718,0.20233,15.1,-47.9,False
285,0.02718,0.19472,16.1,-44.5,False
1712,0.02718,0.17331,21.81,-24.8,False
250,0.02719,0.16699,24.65,-15.0,False
1772,0.02719,0.18309,26.1,-10.0,False
1168,0.02719,0.18074,27.11,-6.5,False
709,0.02719,0.20809,19.6,-32.4,False
194,0.0272,0.23653,29.24,0.9,False
1588,0.0272,0.23731,37.37,28.9,False
1836,0.0272,0.19366,16.09,-44.5,False
1604,0.0272,0.17228,20.71,-28.6,False
329,0.0272,0.18051,17.97,-38.0,False
1138,0.0272,0.19227,16.81,-42.0,False
167,0.0272,0.19765,17.17,-40.8,False
970,0.0272,0.18428,16.87,-41.8,False
916,0.02721,0.20475,24.91,-14.1,False
493,0.02721,0.21619,28.49,-1.7,False
2092,0.02721,0.23764,27.83,-4.0,False
381,0.02721,0.18448,16.56,-42.9,False
1569,0.02721,0.18843,23.33,-19.5,False
1768,0.02721,0.23764,27.83,-4.0,False
515,0.02721,0.18666,29.92,3.2,False
232,0.02721,0.20899,15.77,-45.6,False
883,0.02721,0.1968,24.24,-16.4,False
237,0.02721,0.19616,33.14,14.3,False
72,0.02721,0.16647,24.7,-14.8,False
2177,0.02721,0.19668,27.37,-5.6,False
1709,0.02721,0.20911,26.94,-7.1,False
1997,0.02722,0.23614,27.53,-5.0,False
196,0.02722,0.1833,16.78,-42.1,False
798,0.02722,0.22646,18.09,-37.6,False
52,0.02722,0.20107,24.93,-14.0,False
1518,0.02722,0.22646,18.09,-37.6,False
1887,0.02722,0.21644,27.64,-4.7,False
465,0.02723,0.1679,22.75,-21.5,False
2160,0.02723,0.20646,14.67,-49.4,False
1808,0.02723,0.26357,38.96,34.4,False
38,0.02723,0.21201,25.03,-13.7,False
1229,0.02723,0.2025,14.15,-51.2,False
2215,0.02723,0.19092,24.59,-15.2,False
1649,0.02723,0.20646,14.67,-49.4,False
1073,0.02723,0.2096,20.99,-27.6,False
242,0.02723,0.17659,23.61,-18.6,False
1329,0.02723,0.21473,21.46,-26.0,False
2303,0.02723,0.20646,14.67,-49.4,False
832,0.02723,0.18435,26.53,-8.5,False
2284,0.02723,0.20237,22.23,-23.3,False
1128,0.02723,0.19485,22.93,-20.9,False
540,0.02723,0.20646,14.67,-49.4,False
2155,0.02724,0.21606,19.18,-33.8,False
1786,0.02724,0.24837,21.19,-26.9,False
834,0.02724,0.24336,30.69,5.9,False
1681,0.02724,0.18032,30.69,5.9,False
751,0.02724,0.18176,28.72,-0.9,False
1917,0.02724,0.18943,14.77,-49.1,False
1474,0.02724,0.17651,15.76,-45.6,False
101,0.02724,0.19826,17.94,-38.1,False
1893,0.02724,0.27608,37.45,29.2,False
2084,0.02724,0.19053,24.98,-13.8,False
1909,0.02724,0.17631,24.76,-14.6,False
325,0.02725,0.17996,26.78,-7.6,False
484,0.02725,0.22121,11.06,-61.8,False
1427,0.02725,0.22121,11.06,-61.8,False
154,0.02725,0.21272,28.01,-3.4,False
990,0.02725,0.16796,19.43,-33.0,False
172,0.02725,0.22077,17.31,-40.3,False
1958,0.02725,0.19977,17.21,-40.6,False
2111,0.02726,0.19303,31.13,7.4,False
2334,0.02726,0.20639,16.92,-41.6,False
682,0.02726,0.24985,41.94,44.7,False
264,0.02726,0.20025,20.53,-29.2,False
1854,0.02726,0.20025,20.53,-29.2,False
692,0.02726,0.16865,21.57,-25.6,False
2038,0.02726,0.24035,24.29,-16.2,False
483,0.02727,0.18181,24.52,-15.4,False
582,0.02727,0.21091,21.57,-25.6,False
90,0.02727,0.18181,24.52,-15.4,False
949,0.02727,0.23086,17.76,-38.7,False
502,0.02727,0.23086,17.76,-38.7,False
505,0.02727,0.18955,16.98,-41.4,False
2320,0.02727,0.20236,20.01,-31.0,False
881,0.02727,0.23728,24.23,-16.4,False
910,0.02727,0.24316,29.44,1.5,False
2140,0.02727,0.20121,21.82,-24.7,False
1618,0.02727,0.23728,24.23,-16.4,False
1416,0.02728,0.17514,30.21,4.2,False
1927,0.02728,0.13508,28.1,-3.1,True
1939,0.02728,0.22009,26.98,-6.9,False
1651,0.02728,0.15692,21.47,-26.0,False
1242,0.02728,0.21733,26.37,-9.0,False
2189,0.02728,0.16667,25.82,-10.9,False
1025,0.02728,0.22496,26.41,-8.9,False
713,0.02729,0.23236,23.66,-18.4,False
187,0.02729,0.25037,30.6,5.5,False
1931,0.02729,0.26276,12.43,-57.1,False
1915,0.02729,0.21664,27.21,-6.1,False
1593,0.02729,0.23932,38.28,32.0,False
1199,0.02729,0.18698,28.77,-0.8,False
1109,0.02729,0.19704,17.62,-39.2,False
2360,0.02729,0.20161,22.08,-23.8,False
296,0.02729,0.18698,28.77,-0.8,False
240,0.02729,0.19335,27.98,-3.5,False
2359,0.02729,0.15541,22.18,-23.5,False
1469,0.02729,0.21664,27.21,-6.1,False
2045,0.02729,0.20161,22.08,-23.8,False
566,0.02729,0.18698,28.77,-0.8,False
1533,0.0273,0.15969,24.52,-15.4,False
938,0.0273,0.25742,13.07,-54.9,False
42,0.0273,0.1997,20.87,-28.0,False
2391,0.0273,0.17188,16.35,-43.6,False
796,0.0273,0.20685,18.45,-36.4,False
82,0.0273,0.18817,21.05,-27.4,False
748,0.0273,0.20198,24.89,-14.2,False
1297,0.0273,0.21029,37.44,29.2,False
1684,0.0273,0.26186,42.08,45.2,False
441,0.0273,0.25197,18.58,-35.9,False
1167,0.0273,0.21029,37.44,29.2,False
1573,0.0273,0.18817,21.05,-27.4,False
454,0.0273,0.25179,25.28,-12.8,False
1045,0.02731,0.21167,28.47,-1.8,False
821,0.02731,0.19923,17.04,-41.2,False
852,0.02731,0.22414,25.71,-11.3,False
1978,0.02731,0.1937,24.23,-16.4,False
1001,0.02731,0.23332,44.57,53.7,False
1160,0.02731,0.23993,36.56,26.1,False
1311,0.02731,0.18576,35.03,20.8,False
2350,0.02731,0.18735,25.99,-10.3,False
338,0.02731,0.19029,14.28,-50.7,False
262,0.02731,0.20934,16.96,-41.5,False
1260,0.02731,0.22694,25.07,-13.5,False
2166,0.02731,0.21772,28.43,-1.9,False
496,0.02732,0.1534,28.38,-2.1,False
2395,0.02732,0.20094,21.23,-26.8,False
951,0.02732,0.20545,25.59,-11.7,False
278,0.02732,0.20094,21.23,-26.8,False
2055,0.02732,0.25059,39.62,36.7,False
73,0.02732,0.25059,39.62,36.7,False
1239,0.02732,0.17228,15.44,-46.7,False
1770,0.02733,0.28278,38.2,31.8,False
641,0.02733,0.20343,33.06,14.1,False
568,0.02733,0.15646,13.81,-52.4,False
1693,0.02733,0.17189,29.33,1.2,False
1711,0.02733,0.19033,33.98,17.2,False
2094,0.02733,0.18982,23.25,-19.8,False
1077,0.02733,0.18982,23.25,-19.8,False
610,0.02733,0.22479,28.36,-2.2,False
2307,0.02733,0.22228,22.86,-21.1,False
788,0.02734,0.15884,24.9,-14.1,False
2073,0.02734,0.21465,17.96,-38.0,False
2257,0.02734,0.21104,26.35,-9.1,False
2060,0.02734,0.15538,20.21,-30.3,False
930,0.02734,0.21104,26.35,-9.1,False
5,0.02734,0.19229,30.02,3.6,False
226,0.02734,0.16151,25.06,-13.6,False
1026,0.02734,0.23589,41.7,43.9,False
757,0.02734,0.24411,24.06,-17.0,False
969,0.02734,0.22794,20.87,-28.0,False
63,0.02734,0.18177,16.93,-41.6,False
346,0.02735,0.2503,39.94,37.8,False
302,0.02735,0.25511,40.21,38.7,False
456,0.02735,0.18863,31.54,8.8,False
1463,0.02735,0.1862,31.27,7.9,False
2103,0.02735,0.26371,26.87,-7.3,False
839,0.02735,0.18842,16.56,-42.9,False
1590,0.02735,0.22454,36.71,26.6,False
2056,0.02735,0.19122,27.29,-5.9,False
1483,0.02735,0.23487,14.13,-51.2,False
2353,0.02735,0.25207,20.76,-28.4,False
638,0.02735,0.19606,19.01,-34.4,False
166,0.02735,0.19084,27.49,-5.2,False
384,0.02735,0.26269,11.93,-58.8,False
300,0.02735,0.18863,31.54,8.8,False
2138,0.02736,0.19857,32.96,13.7,False
25,0.02736,0.16313,29.48,1.7,False
416,0.02736,0.23943,16.01,-44.8,False
1487,0.02736,0.20511,23.6,-18.6,False
783,0.02736,0.2371,10.94,-62.3,False
492,0.02736,0.21099,26.29,-9.3,False
1679,0.02736,0.20227,31.24,7.8,False
436,0.02736,0.24161,36.63,26.4,False
917,0.02736,0.16313,29.48,1.7,False
121,0.02737,0.24419,21.23,-26.8,False
585,0.02737,0.24479,23.01,-20.6,False
1826,0.02737,0.23283,33.27,14.8,False
1075,0.02737,0.20509,16.85,-41.9,False
652,0.02737,0.2021,30.17,4.1,False
993,0.02737,0.23573,22.21,-23.4,False
2264,0.02737,0.19517,28.61,-1.3,False
1135,0.02737,0.22817,27.99,-3.4,False
1892,0.02737,0.21147,22.59,-22.1,False
378,0.02737,0.21046,28.22,-2.6,False
97,0.02737,0.14827,24.9,-14.1,False
841,0.02738,0.21464,25.42,-12.3,False
1819,0.02738,0.18056,20.87,-28.0,False
2110,0.02738,0.18056,20.87,-28.0,False
368,0.02738,0.21858,19.95,-31.2,False
1620,0.02738,0.20943,22.62,-22.0,False
869,0.02738,0.1955,17.34,-40.2,False
200,0.02738,0.20822,37.57,29.6,False
1950,0.02738,0.17928,28.04,-3.3,False
619,0.02738,0.23572,23.04,-20.5,False
856,0.02738,0.18147,21.87,-24.5,False
124,0.02738,0.21858,19.95,-31.2,False
1807,0.02739,0.21114,38.84,34.0,False
522,0.02739,0.21706,23.45,-19.1,False
2062,0.02739,0.21809,21.87,-24.6,False
2159,0.02739,0.20284,38.04,31.2,False
1079,0.02739,0.18218,17.48,-39.7,False
573,0.02739,0.22601,35.97,24.1,False
2275,0.02739,0.21788,24.78,-14.5,False
532,0.02739,0.21816,24.79,-14.5,False
1390,0.02739,0.19202,28.76,-0.8,False
1288,0.02739,0.20473,26.16,-9.8,False
156,0.02739,0.24064,41.35,42.6,False
1806,0.02739,0.14903,19.59,-32.4,False
1615,0.0274,0.1982,28.01,-3.4,False
1389,0.0274,0.2388,25.75,-11.2,False
1178,0.0274,0.18778,24.68,-14.9,False
1722,0.0274,0.21154,26.08,-10.0,False
1432,0.0274,0.22454,25.7,-11.4,False
1458,0.0274,0.2056,17.64,-39.2,False
1784,0.0274,0.25017,29.39,1.4,False
2192,0.02741,0.25866,12.29,-57.6,False
1948,0.02741,0.17247,28.29,-2.4,False
452,0.02741,0.19048,25.03,-13.7,False
1264,0.02741,0.19697,31.92,10.1,False
1756,0.02741,0.20559,17.67,-39.1,False
2027,0.02741,0.17247,28.29,-2.4,False
1383,0.02741,0.22535,22.61,-22.0,False
31,0.02741,0.1959,19.65,-32.2,False
635,0.02741,0.1959,19.65,-32.2,False
960,0.02742,0.17047,20.94,-27.8,False
793,0.02742,0.19224,17.28,-40.4,False
781,0.02742,0.21715,23.71,-18.2,False
1104,0.02742,0.13874,22.41,-22.7,False
1973,0.02742,0.19776,29.63,2.2,False
2234,0.02743,0.19265,28.59,-1.4,False
527,0.02743,0.1914,24.19,-16.6,False
310,0.02743,0.22974,38.36,32.3,False
1111,0.02743,0.22974,38.36,32.3,False
1787,0.02743,0.22975,22.3,-23.1,False
2357,0.02743,0.23343,18.56,-36.0,False
1866,0.02743,0.22975,22.3,-23.1,False
1409,0.02744,0.18896,20.61,-28.9,False
890,0.02744,0.2152,26.58,-8.3,False
1299,0.02744,0.16107,21.87,-24.6,False
2097,0.02744,0.27452,22.1,-23.8,False
224,0.02744,0.20504,38.52,32.9,False
858,0.02744,0.23455,8.17,-71.8,False
812,0.02744,0.24279,35.35,21.9,False
742,0.02744,0.20677,17.9,-38.3,False
210,0.02744,0.17244,24.52,-15.4,False
2319,0.02744,0.22455,29.96,3.3,False
129,0.02744,0.20395,12.39,-57.3,False
2067,0.02744,0.16107,21.87,-24.6,False
992,0.02744,0.17662,25.52,-12.0,False
2381,0.02745,0.19631,17.61,-39.2,False
1599,0.02745,0.18832,33.06,14.0,False
1266,0.02745,0.20336,21.45,-26.0,False
1060,0.02745,0.26139,27.42,-5.4,False
2071,0.02746,0.21919,32.09,10.7,False
403,0.02746,0.22759,13.78,-52.5,False
1720,0.02746,0.19869,18.41,-36.5,False
606,0.02746,0.19055,30.23,4.3,False
1408,0.02746,0.17082,25.3,-12.7,False
2201,0.02746,0.17753,23.6,-18.6,False
1419,0.02746,0.25315,28.6,-1.3,False
1294,0.02746,0.20688,25.87,-10.8,False
46,0.02747,0.21198,29.04,0.2,False
900,0.02747,0.24631,11.2,-61.3,False
688,0.02747,0.15972,23.04,-20.5,False
2001,0.02747,0.16533,14.62,-49.6,False
1381,0.02747,0.24631,11.2,-61.3,False
2024,0.02747,0.21198,29.04,0.2,False
710,0.02747,0.24631,11.2,-61.3,False
1174,0.02747,0.17769,15.32,-47.1,False
895,0.02747,0.18725,26.52,-8.5,False
1220,0.02747,0.21981,20.93,-27.8,False
1578,0.02747,0.17976,17.96,-38.0,False
723,0.02747,0.1914,17.25,-40.5,False
702,0.02747,0.21347,25.21,-13.0,False
1320,0.02747,0.23988,11.29,-61.1,False
1904,0.02748,0.21914,13.65,-52.9,False
2020,0.02748,0.16049,32.66,12.7,False
1524,0.02748,0.16313,30.51,5.2,False
1033,0.02748,0.24213,34.75,19.9,False
356,0.02748,0.20345,20.74,-28.5,False
1921,0.02748,0.24213,34.75,19.9,False
209,0.02748,0.18588,13.54,-53.3,False
320,0.02748,0.20263,25.22,-13.0,False
863,0.02748,0.22683,30.87,6.5,False
1076,0.02748,0.16332,25.32,-12.7,False
1103,0.02749,0.1941,18.53,-36.1,False
507,0.02749,0.19401,34.9,20.4,False
1037,0.02749,0.28519,21.76,-24.9,False
443,0.02749,0.22957,10.0,-65.5,False
1477,0.02749,0.13217,30.4,4.9,True
1345,0.02749,0.19284,15.98,-44.9,False
645,0.02749,0.20629,15.31,-47.2,False
761,0.02749,0.21661,42.02,44.9,False
312,0.02749,0.21932,13.88,-52.1,False
1342,0.02749,0.20862,25.84,-10.9,False
1261,0.02749,0.24096,41.89,44.5,False
271,0.02749,0.19698,17.43,-39.9,False
597,0.0275,0.16304,17.48,-39.7,False
4,0.0275,0.21023,15.77,-45.6,False
1016,0.0275,0.22253,22.08,-23.9,False
1388,0.0275,0.16551,27.76,-4.2,False
1752,0.0275,0.20238,31.11,7.3,False
731,0.0275,0.15998,23.81,-17.9,False
609,0.0275,0.22253,22.08,-23.9,False
137,0.0275,0.23078,23.84,-17.8,False
179,0.0275,0.20238,31.11,7.3,False
1667,0.0275,0.1704,16.24,-44.0,False
977,0.0275,0.18049,28.96,-0.1,False
438,0.0275,0.16328,26.3,-9.3,False
2158,0.0275,0.22814,20.78,-28.3,False
1312,0.0275,0.1981,20.55,-29.1,False
135,0.0275,0.18854,33.11,14.2,False
633,0.0275,0.20183,16.82,-42.0,False
2361,0.02751,0.18242,26.56,-8.4,False
1120,0.02751,0.23707,11.25,-61.2,False
1177,0.02751,0.20262,17.81,-38.6,False
1648,0.02751,0.19258,32.82,13.2,False
