prscrbr_npi,prscrbr_last_org_name,prscrbr_first_name,prscrbr_city,prscrbr_state_abrvtn,prscrbr_type,drug_name,generic_name,drug_class,tot_clms,tot_benes,tot_day_suply,tot_drug_cst,year
9000000011,Provider_HCP0011,Synthetic,CA City,CA,Pulmonology,Roventra,roventra,Launch product,249,45,11952,238135.79,2024
9000000011,Provider_HCP0011,Synthetic,CA City,CA,Pulmonology,Nexoral,nexoral,Competitor A,13,13,702,15290.2,2024
9000000012,Provider_HCP0012,Synthetic,CA City,CA,Oncology/Hematology,Roventra,roventra,Launch product,227,16,13393,100115.21,2024
9000000013,Provider_HCP0013,Synthetic,WA City,WA,Family Practice,Vexpro,vexpro,Competitor B,88,53,6160,41362.27,2024
9000000013,Provider_HCP0013,Synthetic,WA City,WA,Family Practice,Nexoral,nexoral,Competitor A,83,42,2490,25087.35,2024
9000000014,Provider_HCP0014,Synthetic,CA City,CA,Rheumatology,Vexpro,vexpro,Competitor B,258,38,22188,35730.15,2024
9000000015,Provider_HCP0015,Synthetic,IL City,IL,Cardiology,Vexpro,vexpro,Competitor B,248,103,13144,257671.3,2024
9000000016,Provider_HCP0016,Synthetic,NY City,NY,Family Practice,Vexpro,vexpro,Competitor B,195,62,15210,131188.52,2024
9000000017,Provider_HCP0017,Synthetic,CA City,CA,Family Practice,Nexoral,nexoral,Competitor A,228,77,6384,258176.59,2024
9000000017,Provider_HCP0017,Synthetic,CA City,CA,Family Practice,Roventra,roventra,Launch product,295,168,20945,187770.92,2024
9000000018,Provider_HCP0018,Synthetic,NY City,NY,Oncology/Hematology,Nexoral,nexoral,Competitor A,290,285,22620,70954.67,2024
9000000018,Provider_HCP0018,Synthetic,NY City,NY,Oncology/Hematology,Vexpro,vexpro,Competitor B,19,13,1558,5729.04,2024
9000000019,Provider_HCP0019,Synthetic,GA City,GA,Rheumatology,Nexoral,nexoral,Competitor A,57,30,5073,5116.54,2024
9000000020,Provider_HCP0020,Synthetic,MI City,MI,Family Practice,Vexpro,vexpro,Competitor B,226,113,7684,167660.42,2024
9000000020,Provider_HCP0020,Synthetic,MI City,MI,Family Practice,Nexoral,nexoral,Competitor A,249,159,13944,121463.86,2024
9000000021,Provider_HCP0021,Synthetic,IL City,IL,Oncology/Hematology,Vexpro,vexpro,Competitor B,254,122,13208,244272.98,2024
9000000021,Provider_HCP0021,Synthetic,IL City,IL,Oncology/Hematology,Nexoral,nexoral,Competitor A,201,14,11658,228149.15,2024
9000000022,Provider_HCP0022,Synthetic,WA City,WA,Family Practice,Roventra,roventra,Launch product,186,126,5208,138411.73,2024
9000000022,Provider_HCP0022,Synthetic,WA City,WA,Family Practice,Nexoral,nexoral,Competitor A,209,84,17974,143954.31,2024
9000000023,Provider_HCP0023,Synthetic,IL City,IL,Family Practice,Vexpro,vexpro,Competitor B,127,46,4826,91179.89,2024
9000000024,Provider_HCP0024,Synthetic,OH City,OH,Oncology/Hematology,Vexpro,vexpro,Competitor B,26,13,2236,5577.14,2024
9000000025,Provider_HCP0025,Synthetic,WA City,WA,Pulmonology,Nexoral,nexoral,Competitor A,97,50,3007,23066.72,2024
9000000025,Provider_HCP0025,Synthetic,WA City,WA,Pulmonology,Vexpro,vexpro,Competitor B,151,143,5889,82343.82,2024
9000000025,Provider_HCP0025,Synthetic,WA City,WA,Pulmonology,Roventra,roventra,Launch product,268,98,19028,71337.44,2024
9000000026,Provider_HCP0026,Synthetic,WA City,WA,Endocrinology,Nexoral,nexoral,Competitor A,145,143,4785,166905.72,2024
9000000026,Provider_HCP0026,Synthetic,WA City,WA,Endocrinology,Vexpro,vexpro,Competitor B,74,46,5328,44591.05,2024
9000000027,Provider_HCP0027,Synthetic,NJ City,NJ,Oncology/Hematology,Vexpro,vexpro,Competitor B,90,41,2880,14476.5,2024
9000000028,Provider_HCP0028,Synthetic,GA City,GA,Endocrinology,Nexoral,nexoral,Competitor A,281,196,15736,272698.94,2024
9000000028,Provider_HCP0028,Synthetic,GA City,GA,Endocrinology,Vexpro,vexpro,Competitor B,255,49,8925,278090.88,2024
9000000029,Provider_HCP0029,Synthetic,TX City,TX,Oncology/Hematology,Nexoral,nexoral,Competitor A,35,24,2205,39460.08,2024
9000000030,Provider_HCP0030,Synthetic,GA City,GA,Oncology/Hematology,Vexpro,vexpro,Competitor B,52,49,2080,50211.83,2024
9000000030,Provider_HCP0030,Synthetic,GA City,GA,Oncology/Hematology,Nexoral,nexoral,Competitor A,110,18,6050,29229.85,2024
9000000031,Provider_HCP0031,Synthetic,GA City,GA,Oncology/Hematology,Nexoral,nexoral,Competitor A,57,41,2679,12064.73,2024
9000000032,Provider_HCP0032,Synthetic,WA City,WA,Family Practice,Vexpro,vexpro,Competitor B,176,135,11088,45266.6,2024
9000000033,Provider_HCP0033,Synthetic,FL City,FL,Family Practice,Nexoral,nexoral,Competitor A,87,22,6873,99970.81,2024
9000000034,Provider_HCP0034,Synthetic,TX City,TX,Endocrinology,Vexpro,vexpro,Competitor B,235,149,15745,73448.48,2024
9000000035,Provider_HCP0035,Synthetic,NY City,NY,Family Practice,Vexpro,vexpro,Competitor B,250,221,7000,252135.21,2024
9000000035,Provider_HCP0035,Synthetic,NY City,NY,Family Practice,Nexoral,nexoral,Competitor A,248,82,12400,162595.4,2024
9000000036,Provider_HCP0036,Synthetic,OH City,OH,Oncology/Hematology,Nexoral,nexoral,Competitor A,25,23,1175,20878.02,2024
9000000037,Provider_HCP0037,Synthetic,TX City,TX,Oncology/Hematology,Nexoral,nexoral,Competitor A,250,228,22500,191731.28,2024
9000000037,Provider_HCP0037,Synthetic,TX City,TX,Oncology/Hematology,Roventra,roventra,Launch product,52,21,2704,48594.46,2024
9000000038,Provider_HCP0038,Synthetic,GA City,GA,Family Practice,Vexpro,vexpro,Competitor B,96,34,6336,23706.56,2024
9000000038,Provider_HCP0038,Synthetic,GA City,GA,Family Practice,Nexoral,nexoral,Competitor A,113,96,3503,54546.51,2024
9000000039,Provider_HCP0039,Synthetic,WA City,WA,Oncology/Hematology,Vexpro,vexpro,Competitor B,35,33,3080,40397.19,2024
9000000039,Provider_HCP0039,Synthetic,WA City,WA,Oncology/Hematology,Roventra,roventra,Launch product,137,128,11097,44021.58,2024
9000000039,Provider_HCP0039,Synthetic,WA City,WA,Oncology/Hematology,Nexoral,nexoral,Competitor A,185,24,15170,176052.02,2024
9000000040,Provider_HCP0040,Synthetic,GA City,GA,Family Practice,Roventra,roventra,Launch product,234,149,20826,263754.81,2024
9000000041,Provider_HCP0041,Synthetic,MI City,MI,Family Practice,Vexpro,vexpro,Competitor B,41,25,3444,44949.68,2024
9000000042,Provider_HCP0042,Synthetic,WA City,WA,Oncology/Hematology,Vexpro,vexpro,Competitor B,181,94,10498,202376.33,2024
9000000042,Provider_HCP0042,Synthetic,WA City,WA,Oncology/Hematology,Roventra,roventra,Launch product,61,57,2928,57471.48,2024
9000000042,Provider_HCP0042,Synthetic,WA City,WA,Oncology/Hematology,Nexoral,nexoral,Competitor A,264,252,16104,246199.64,2024
9000000043,Provider_HCP0043,Synthetic,IL City,IL,Family Practice,Nexoral,nexoral,Competitor A,219,53,8322,30355.48,2024
9000000044,Provider_HCP0044,Synthetic,TX City,TX,Cardiology,Nexoral,nexoral,Competitor A,220,126,12540,89364.51,2024
9000000044,Provider_HCP0044,Synthetic,TX City,TX,Cardiology,Vexpro,vexpro,Competitor B,268,156,9648,125239.59,2024
9000000045,Provider_HCP0045,Synthetic,PA City,PA,Endocrinology,Nexoral,nexoral,Competitor A,43,13,2967,12818.97,2024
9000000046,Provider_HCP0046,Synthetic,OH City,OH,Cardiology,Nexoral,nexoral,Competitor A,197,50,5713,156906.89,2024
9000000047,Provider_HCP0047,Synthetic,GA City,GA,Cardiology,Roventra,roventra,Launch product,124,41,7936,74828.79,2024
9000000048,Provider_HCP0048,Synthetic,TX City,TX,Oncology/Hematology,Nexoral,nexoral,Competitor A,76,13,4104,23311.81,2024
9000000048,Provider_HCP0048,Synthetic,TX City,TX,Oncology/Hematology,Vexpro,vexpro,Competitor B,184,116,7544,124075.33,2024
9000000049,Provider_HCP0049,Synthetic,WA City,WA,Oncology/Hematology,Roventra,roventra,Launch product,278,259,9452,81672.93,2024
9000000050,Provider_HCP0050,Synthetic,OH City,OH,Oncology/Hematology,Vexpro,vexpro,Competitor B,189,115,8316,194014.28,2024
9000000051,Provider_HCP0051,Synthetic,FL City,FL,Cardiology,Vexpro,vexpro,Competitor B,291,224,9312,227852.23,2024
9000000051,Provider_HCP0051,Synthetic,FL City,FL,Cardiology,Nexoral,nexoral,Competitor A,216,115,7776,128924.7,2024
9000000052,Provider_HCP0052,Synthetic,NY City,NY,Rheumatology,Vexpro,vexpro,Competitor B,29,16,1363,15016.31,2024
9000000052,Provider_HCP0052,Synthetic,NY City,NY,Rheumatology,Roventra,roventra,Launch product,189,21,6237,100765.19,2024
9000000053,Provider_HCP0053,Synthetic,NY City,NY,Rheumatology,Vexpro,vexpro,Competitor B,261,168,13050,175193.12,2024
9000000053,Provider_HCP0053,Synthetic,NY City,NY,Rheumatology,Nexoral,nexoral,Competitor A,191,36,10314,23467.69,2024
9000000054,Provider_HCP0054,Synthetic,TX City,TX,Rheumatology,Nexoral,nexoral,Competitor A,22,14,1782,25132.26,2024
9000000054,Provider_HCP0054,Synthetic,TX City,TX,Rheumatology,Vexpro,vexpro,Competitor B,233,167,13514,176050.84,2024
9000000055,Provider_HCP0055,Synthetic,FL City,FL,Family Practice,Vexpro,vexpro,Competitor B,66,41,2442,75456.3,2024
9000000055,Provider_HCP0055,Synthetic,FL City,FL,Family Practice,Roventra,roventra,Launch product,264,211,18480,70007.45,2024
9000000056,Provider_HCP0056,Synthetic,NY City,NY,Cardiology,Vexpro,vexpro,Competitor B,154,123,5390,143824.76,2024
9000000057,Provider_HCP0057,Synthetic,NJ City,NJ,Cardiology,Nexoral,nexoral,Competitor A,174,165,10440,178780.76,2024
9000000057,Provider_HCP0057,Synthetic,NJ City,NJ,Cardiology,Vexpro,vexpro,Competitor B,42,24,2520,8853.03,2024
9000000058,Provider_HCP0058,Synthetic,OH City,OH,Family Practice,Roventra,roventra,Launch product,121,43,7139,89399.06,2024
9000000058,Provider_HCP0058,Synthetic,OH City,OH,Family Practice,Nexoral,nexoral,Competitor A,83,82,7304,83618.38,2024
9000000059,Provider_HCP0059,Synthetic,CA City,CA,Family Practice,Nexoral,nexoral,Competitor A,158,54,6952,90887.23,2024
9000000060,Provider_HCP0060,Synthetic,MI City,MI,Oncology/Hematology,Roventra,roventra,Launch product,30,23,1410,23795.06,2024
9000000061,Provider_HCP0061,Synthetic,NY City,NY,Cardiology,Vexpro,vexpro,Competitor B,171,48,8550,15783.95,2024
9000000061,Provider_HCP0061,Synthetic,NY City,NY,Cardiology,Nexoral,nexoral,Competitor A,130,28,5850,68436.64,2024
9000000062,Provider_HCP0062,Synthetic,FL City,FL,Family Practice,Vexpro,vexpro,Competitor B,186,170,7068,145080.08,2024
9000000063,Provider_HCP0063,Synthetic,GA City,GA,Family Practice,Nexoral,nexoral,Competitor A,172,102,12212,200594.16,2024
9000000063,Provider_HCP0063,Synthetic,GA City,GA,Family Practice,Vexpro,vexpro,Competitor B,22,16,1958,13638.24,2024
9000000064,Provider_HCP0064,Synthetic,PA City,PA,Endocrinology,Vexpro,vexpro,Competitor B,291,130,15714,338232.56,2024
9000000064,Provider_HCP0064,Synthetic,PA City,PA,Endocrinology,Nexoral,nexoral,Competitor A,276,257,9384,156653.08,2024
9000000064,Provider_HCP0064,Synthetic,PA City,PA,Endocrinology,Roventra,roventra,Launch product,38,29,2090,14292.8,2024
9000000065,Provider_HCP0065,Synthetic,GA City,GA,Oncology/Hematology,Nexoral,nexoral,Competitor A,78,18,4758,83621.97,2024
9000000065,Provider_HCP0065,Synthetic,GA City,GA,Oncology/Hematology,Vexpro,vexpro,Competitor B,34,22,2720,3161.6,2024
9000000065,Provider_HCP0065,Synthetic,GA City,GA,Oncology/Hematology,Roventra,roventra,Launch product,146,67,5694,170430.53,2024
9000000066,Provider_HCP0066,Synthetic,TX City,TX,Rheumatology,Nexoral,nexoral,Competitor A,228,138,16416,24911.09,2024
9000000066,Provider_HCP0066,Synthetic,TX City,TX,Rheumatology,Vexpro,vexpro,Competitor B,136,120,4080,130142.88,2024
9000000067,Provider_HCP0067,Synthetic,TX City,TX,Family Practice,Vexpro,vexpro,Competitor B,72,40,3168,42229.14,2024
9000000068,Provider_HCP0068,Synthetic,WA City,WA,Oncology/Hematology,Roventra,roventra,Launch product,287,193,12341,122990.67,2024
9000000068,Provider_HCP0068,Synthetic,WA City,WA,Oncology/Hematology,Nexoral,nexoral,Competitor A,297,114,15741,211821.73,2024
9000000069,Provider_HCP0069,Synthetic,GA City,GA,Rheumatology,Vexpro,vexpro,Competitor B,70,30,3290,16619.19,2024
9000000070,Provider_HCP0070,Synthetic,PA City,PA,Oncology/Hematology,Nexoral,nexoral,Competitor A,168,144,10416,14796.03,2024
9000000071,Provider_HCP0071,Synthetic,MI City,MI,Rheumatology,Vexpro,vexpro,Competitor B,164,125,10168,63264.91,2024
9000000072,Provider_HCP0072,Synthetic,NY City,NY,Cardiology,Vexpro,vexpro,Competitor B,293,129,13185,65293.79,2024
9000000073,Provider_HCP0073,Synthetic,IL City,IL,Family Practice,Vexpro,vexpro,Competitor B,152,137,9728,15605.26,2024
9000000074,Provider_HCP0074,Synthetic,TX City,TX,Family Practice,Vexpro,vexpro,Competitor B,148,85,5180,163113.72,2024
9000000075,Provider_HCP0075,Synthetic,OH City,OH,Endocrinology,Nexoral,nexoral,Competitor A,186,138,15438,123956.08,2024
9000000076,Provider_HCP0076,Synthetic,CA City,CA,Rheumatology,Roventra,roventra,Launch product,188,36,14288,44516.14,2024
9000000077,Provider_HCP0077,Synthetic,GA City,GA,Family Practice,Nexoral,nexoral,Competitor A,44,32,2772,16254.58,2024
9000000077,Provider_HCP0077,Synthetic,GA City,GA,Family Practice,Vexpro,vexpro,Competitor B,12,12,1056,6749.15,2024
9000000078,Provider_HCP0078,Synthetic,NY City,NY,Family Practice,Roventra,roventra,Launch product,82,22,5576,74140.0,2024
9000000078,Provider_HCP0078,Synthetic,NY City,NY,Family Practice,Vexpro,vexpro,Competitor B,126,66,8316,102494.93,2024
9000000079,Provider_HCP0079,Synthetic,NY City,NY,Family Practice,Nexoral,nexoral,Competitor A,62,21,3596,12020.53,2024
9000000079,Provider_HCP0079,Synthetic,NY City,NY,Family Practice,Roventra,roventra,Launch product,133,109,10241,36019.68,2024
9000000080,Provider_HCP0080,Synthetic,OH City,OH,Family Practice,Nexoral,nexoral,Competitor A,86,12,3612,68916.42,2024
9000000080,Provider_HCP0080,Synthetic,OH City,OH,Family Practice,Roventra,roventra,Launch product,231,170,13629,51255.82,2024
9000000081,Provider_HCP0081,Synthetic,PA City,PA,Pulmonology,Roventra,roventra,Launch product,280,149,10920,322550.56,2024
9000000082,Provider_HCP0082,Synthetic,IL City,IL,Cardiology,Roventra,roventra,Launch product,202,44,7474,84606.28,2024
9000000082,Provider_HCP0082,Synthetic,IL City,IL,Cardiology,Vexpro,vexpro,Competitor B,256,208,7936,126101.36,2024
9000000083,Provider_HCP0083,Synthetic,GA City,GA,Oncology/Hematology,Vexpro,vexpro,Competitor B,236,191,10620,280544.27,2024
9000000084,Provider_HCP0084,Synthetic,WA City,WA,Rheumatology,Vexpro,vexpro,Competitor B,244,44,15128,121203.32,2024
9000000084,Provider_HCP0084,Synthetic,WA City,WA,Rheumatology,Nexoral,nexoral,Competitor A,70,29,4340,16768.67,2024
9000000085,Provider_HCP0085,Synthetic,CA City,CA,Endocrinology,Nexoral,nexoral,Competitor A,38,35,1330,31020.95,2024
9000000085,Provider_HCP0085,Synthetic,CA City,CA,Endocrinology,Vexpro,vexpro,Competitor B,278,133,17514,192984.55,2024
9000000086,Provider_HCP0086,Synthetic,FL City,FL,Family Practice,Nexoral,nexoral,Competitor A,115,68,8970,76153.99,2024
9000000087,Provider_HCP0087,Synthetic,NY City,NY,Cardiology,Nexoral,nexoral,Competitor A,125,104,5375,116368.21,2024
9000000087,Provider_HCP0087,Synthetic,NY City,NY,Cardiology,Roventra,roventra,Launch product,217,148,6944,237975.1,2024
9000000088,Provider_HCP0088,Synthetic,NY City,NY,Rheumatology,Vexpro,vexpro,Competitor B,211,42,9495,24950.69,2024
9000000088,Provider_HCP0088,Synthetic,NY City,NY,Rheumatology,Nexoral,nexoral,Competitor A,237,99,11850,226389.43,2024
9000000089,Provider_HCP0089,Synthetic,GA City,GA,Family Practice,Roventra,roventra,Launch product,74,12,4070,22019.85,2024
9000000090,Provider_HCP0090,Synthetic,OH City,OH,Oncology/Hematology,Nexoral,nexoral,Competitor A,15,15,1080,5938.63,2024
9000000090,Provider_HCP0090,Synthetic,OH City,OH,Oncology/Hematology,Roventra,roventra,Launch product,227,219,19749,257587.23,2024
9000000091,Provider_HCP0091,Synthetic,TX City,TX,Cardiology,Vexpro,vexpro,Competitor B,82,16,3608,38278.73,2024
9000000091,Provider_HCP0091,Synthetic,TX City,TX,Cardiology,Roventra,roventra,Launch product,222,152,15318,68743.08,2024
9000000092,Provider_HCP0092,Synthetic,NY City,NY,Family Practice,Vexpro,vexpro,Competitor B,283,240,22640,314435.45,2024
9000000092,Provider_HCP0092,Synthetic,NY City,NY,Family Practice,Nexoral,nexoral,Competitor A,238,219,9758,196909.54,2024
9000000093,Provider_HCP0093,Synthetic,NY City,NY,Oncology/Hematology,Roventra,roventra,Launch product,272,98,18496,34762.01,2024
9000000093,Provider_HCP0093,Synthetic,NY City,NY,Oncology/Hematology,Nexoral,nexoral,Competitor A,52,35,1612,22099.54,2024
9000000094,Provider_HCP0094,Synthetic,CA City,CA,Oncology/Hematology,Roventra,roventra,Launch product,300,281,21900,272393.35,2024
9000000095,Provider_HCP0095,Synthetic,PA City,PA,Pulmonology,Roventra,roventra,Launch product,100,73,5100,89818.33,2024
9000000096,Provider_HCP0096,Synthetic,OH City,OH,Cardiology,Nexoral,nexoral,Competitor A,42,41,1554,11121.7,2024
9000000097,Provider_HCP0097,Synthetic,PA City,PA,Oncology/Hematology,Nexoral,nexoral,Competitor A,110,13,6600,21178.66,2024
9000000098,Provider_HCP0098,Synthetic,IL City,IL,Family Practice,Nexoral,nexoral,Competitor A,97,13,4947,76719.03,2024
9000000098,Provider_HCP0098,Synthetic,IL City,IL,Family Practice,Vexpro,vexpro,Competitor B,256,124,15360,302639.68,2024
9000000099,Provider_HCP0099,Synthetic,IL City,IL,Oncology/Hematology,Nexoral,nexoral,Competitor A,66,64,4554,44090.2,2024
9000000100,Provider_HCP0100,Synthetic,GA City,GA,Rheumatology,Roventra,roventra,Launch product,109,96,6431,67604.9,2024
9000000100,Provider_HCP0100,Synthetic,GA City,GA,Rheumatology,Nexoral,nexoral,Competitor A,110,25,4400,53475.35,2024
9000000101,Provider_HCP0101,Synthetic,WA City,WA,Family Practice,Vexpro,vexpro,Competitor B,161,117,13202,17762.69,2024
9000000102,Provider_HCP0102,Synthetic,NJ City,NJ,Family Practice,Roventra,roventra,Launch product,250,172,20000,263140.48,2024
9000000102,Provider_HCP0102,Synthetic,NJ City,NJ,Family Practice,Nexoral,nexoral,Competitor A,172,158,10492,117366.33,2024
9000000103,Provider_HCP0103,Synthetic,OH City,OH,Oncology/Hematology,Nexoral,nexoral,Competitor A,100,83,6800,68304.06,2024
9000000103,Provider_HCP0103,Synthetic,OH City,OH,Oncology/Hematology,Roventra,roventra,Launch product,142,141,10650,112575.43,2024
9000000104,Provider_HCP0104,Synthetic,MI City,MI,Rheumatology,Vexpro,vexpro,Competitor B,200,110,9400,209808.11,2024
9000000104,Provider_HCP0104,Synthetic,MI City,MI,Rheumatology,Nexoral,nexoral,Competitor A,41,17,1968,36238.89,2024
9000000105,Provider_HCP0105,Synthetic,TX City,TX,Cardiology,Vexpro,vexpro,Competitor B,62,18,3038,57903.34,2024
9000000106,Provider_HCP0106,Synthetic,FL City,FL,Pulmonology,Roventra,roventra,Launch product,211,91,13504,168379.85,2024
9000000107,Provider_HCP0107,Synthetic,AZ City,AZ,Cardiology,Nexoral,nexoral,Competitor A,237,192,9243,255698.88,2024
9000000107,Provider_HCP0107,Synthetic,AZ City,AZ,Cardiology,Vexpro,vexpro,Competitor B,127,46,4318,19874.1,2024
9000000108,Provider_HCP0108,Synthetic,GA City,GA,Endocrinology,Nexoral,nexoral,Competitor A,231,45,16632,80403.53,2024
9000000108,Provider_HCP0108,Synthetic,GA City,GA,Endocrinology,Vexpro,vexpro,Competitor B,130,69,5330,54730.14,2024
9000000109,Provider_HCP0109,Synthetic,GA City,GA,Oncology/Hematology,Nexoral,nexoral,Competitor A,115,71,4600,102852.94,2024
9000000109,Provider_HCP0109,Synthetic,GA City,GA,Oncology/Hematology,Vexpro,vexpro,Competitor B,153,17,4437,97242.71,2024
9000000110,Provider_HCP0110,Synthetic,WA City,WA,Family Practice,Vexpro,vexpro,Competitor B,66,49,3432,62494.06,2024
9000000110,Provider_HCP0110,Synthetic,WA City,WA,Family Practice,Nexoral,nexoral,Competitor A,20,13,920,18819.93,2024
9000000111,Provider_HCP0111,Synthetic,TX City,TX,Family Practice,Nexoral,nexoral,Competitor A,161,158,11753,75086.72,2024
9000000112,Provider_HCP0112,Synthetic,WA City,WA,Oncology/Hematology,Nexoral,nexoral,Competitor A,62,37,4774,72097.15,2024
9000000113,Provider_HCP0113,Synthetic,NY City,NY,Cardiology,Nexoral,nexoral,Competitor A,99,27,6435,113549.62,2024
9000000114,Provider_HCP0114,Synthetic,NY City,NY,Endocrinology,Nexoral,nexoral,Competitor A,212,31,13780,101642.54,2024
9000000115,Provider_HCP0115,Synthetic,GA City,GA,Endocrinology,Roventra,roventra,Launch product,277,30,24376,189724.93,2024
9000000115,Provider_HCP0115,Synthetic,GA City,GA,Endocrinology,Vexpro,vexpro,Competitor B,53,43,4187,54013.64,2024
9000000116,Provider_HCP0116,Synthetic,AZ City,AZ,Oncology/Hematology,Roventra,roventra,Launch product,76,32,4332,22296.61,2024
9000000117,Provider_HCP0117,Synthetic,MI City,MI,Endocrinology,Vexpro,vexpro,Competitor B,24,14,936,11354.81,2024
9000000118,Provider_HCP0118,Synthetic,TX City,TX,Cardiology,Nexoral,nexoral,Competitor A,91,61,5096,19477.42,2024
9000000119,Provider_HCP0119,Synthetic,WA City,WA,Family Practice,Roventra,roventra,Launch product,220,83,17600,17912.11,2024
9000000119,Provider_HCP0119,Synthetic,WA City,WA,Family Practice,Nexoral,nexoral,Competitor A,298,177,11920,93925.71,2024
9000000120,Provider_HCP0120,Synthetic,MI City,MI,Pulmonology,Vexpro,vexpro,Competitor B,59,42,4897,52743.72,2024
9000000120,Provider_HCP0120,Synthetic,MI City,MI,Pulmonology,Nexoral,nexoral,Competitor A,188,154,7144,70204.86,2024
9000000121,Provider_HCP0121,Synthetic,GA City,GA,Oncology/Hematology,Vexpro,vexpro,Competitor B,269,202,11029,212868.98,2024
9000000121,Provider_HCP0121,Synthetic,GA City,GA,Oncology/Hematology,Nexoral,nexoral,Competitor A,39,27,3198,44804.84,2024
9000000122,Provider_HCP0122,Synthetic,FL City,FL,Cardiology,Vexpro,vexpro,Competitor B,115,14,9085,107994.47,2024
9000000122,Provider_HCP0122,Synthetic,FL City,FL,Cardiology,Nexoral,nexoral,Competitor A,270,24,14310,262897.59,2024
9000000123,Provider_HCP0123,Synthetic,OH City,OH,Endocrinology,Nexoral,nexoral,Competitor A,122,73,5978,79581.61,2024
9000000123,Provider_HCP0123,Synthetic,OH City,OH,Endocrinology,Vexpro,vexpro,Competitor B,131,97,11790,25614.87,2024
9000000124,Provider_HCP0124,Synthetic,NY City,NY,Family Practice,Vexpro,vexpro,Competitor B,15,11,480,2978.12,2024
9000000124,Provider_HCP0124,Synthetic,NY City,NY,Family Practice,Nexoral,nexoral,Competitor A,283,135,16697,176764.33,2024
9000000125,Provider_HCP0125,Synthetic,PA City,PA,Pulmonology,Roventra,roventra,Launch product,138,130,10074,64686.84,2024
9000000125,Provider_HCP0125,Synthetic,PA City,PA,Pulmonology,Nexoral,nexoral,Competitor A,47,34,1457,20012.2,2024
9000000125,Provider_HCP0125,Synthetic,PA City,PA,Pulmonology,Vexpro,vexpro,Competitor B,120,119,10440,43896.96,2024
9000000126,Provider_HCP0126,Synthetic,GA City,GA,Cardiology,Nexoral,nexoral,Competitor A,17,17,1122,5985.42,2024
9000000126,Provider_HCP0126,Synthetic,GA City,GA,Cardiology,Roventra,roventra,Launch product,46,35,3726,33439.33,2024
9000000126,Provider_HCP0126,Synthetic,GA City,GA,Cardiology,Vexpro,vexpro,Competitor B,108,77,5940,94210.77,2024
9000000127,Provider_HCP0127,Synthetic,FL City,FL,Endocrinology,Vexpro,vexpro,Competitor B,81,29,3483,52238.79,2024
9000000127,Provider_HCP0127,Synthetic,FL City,FL,Endocrinology,Roventra,roventra,Launch product,235,92,14100,247295.85,2024
9000000128,Provider_HCP0128,Synthetic,FL City,FL,Family Practice,Vexpro,vexpro,Competitor B,19,14,1197,16477.59,2024
9000000128,Provider_HCP0128,Synthetic,FL City,FL,Family Practice,Roventra,roventra,Launch product,267,80,23496,294701.25,2024
9000000128,Provider_HCP0128,Synthetic,FL City,FL,Family Practice,Nexoral,nexoral,Competitor A,90,43,7920,11281.74,2024
