draw_number,channel,optimized_weekly_spend
69,email,25.31
69,digital,96.53
69,paid_media,124.54
70,field,340.68
70,email,25.31
70,digital,96.53
70,paid_media,124.54
71,field,344.73
71,email,25.31
71,digital,92.47
71,paid_media,124.54
72,field,340.68
72,email,25.31
72,digital,96.52
72,paid_media,124.54
73,field,340.68
73,email,25.31
73,digital,96.53
73,paid_media,124.54
74,field,340.68
74,email,25.31
74,digital,96.53
74,paid_media,124.54
75,field,340.68
75,email,25.31
75,digital,96.52
75,paid_media,124.54
76,field,340.68
76,email,25.31
76,digital,96.52
76,paid_media,124.54
77,field,358.23
77,email,25.31
77,digital,78.98
77,paid_media,124.54
78,field,340.68
78,email,25.31
78,digital,96.53
78,paid_media,124.54
79,field,340.68
79,email,25.31
79,digital,96.53
79,paid_media,124.54
