week,week_index,nrx,calls_field,spend_field,spend_email,spend_digital,spend_paid_media
2024-12-30,52,244.3,4.09,348.0,10.0,53.0,140.0
2025-01-06,53,259.5,4.66,396.0,12.0,62.0,149.0
2025-01-13,54,269.9,4.4,374.0,8.0,57.0,164.0
2025-01-20,55,271.7,4.79,407.0,12.0,52.0,126.0
2025-01-27,56,265.4,4.35,370.0,9.0,67.0,153.0
2025-02-03,57,280.6,4.76,405.0,14.0,61.0,171.0
2025-02-10,58,275.6,4.64,394.0,9.0,75.0,145.0
2025-02-17,59,289.1,4.89,416.0,11.0,90.0,143.0
2025-02-24,60,291.8,4.86,413.0,11.0,78.0,146.0
2025-03-03,61,303.1,4.65,395.0,10.0,88.0,141.0
2025-03-10,62,324.1,4.76,405.0,13.0,90.0,134.0
2025-03-17,63,309.0,4.51,383.0,16.0,105.0,146.0
2025-03-24,64,303.8,4.57,389.0,7.0,108.0,145.0
2025-03-31,65,308.0,4.28,364.0,11.0,108.0,155.0
2025-04-07,66,316.4,4.26,362.0,12.0,125.0,150.0
2025-04-14,67,313.5,4.0,340.0,11.0,126.0,155.0
2025-04-21,68,320.6,3.99,339.0,14.0,124.0,149.0
2025-04-28,69,318.7,4.15,353.0,15.0,120.0,128.0
2025-05-05,70,316.3,3.76,319.0,12.0,121.0,140.0
2025-05-12,71,307.7,3.62,307.0,11.0,122.0,161.0
2025-05-19,72,321.7,4.1,348.0,57.0,118.0,94.0
2025-05-26,73,313.9,3.76,319.0,50.0,139.0,80.0
2025-06-02,74,312.3,3.82,325.0,60.0,126.0,80.0
2025-06-09,75,288.0,4.12,350.0,13.0,126.0,111.0
2025-06-16,76,296.7,4.5,382.0,13.0,138.0,100.0
2025-06-23,77,307.8,4.19,356.0,11.0,132.0,89.0
2025-06-30,78,282.8,4.48,381.0,11.0,118.0,74.0
2025-07-07,79,308.1,4.27,363.0,11.0,124.0,114.0
2025-07-14,80,292.2,4.49,382.0,15.0,138.0,79.0
2025-07-21,81,291.3,4.49,381.0,11.0,126.0,86.0
2025-07-28,82,298.1,4.92,418.0,9.0,108.0,103.0
2025-08-04,83,301.9,4.6,391.0,8.0,124.0,106.0
2025-08-11,84,295.8,4.68,398.0,11.0,122.0,95.0
2025-08-18,85,287.4,4.73,402.0,16.0,124.0,80.0
2025-08-25,86,276.3,4.55,387.0,9.0,115.0,92.0
2025-09-01,87,287.7,4.74,403.0,11.0,122.0,61.0
2025-09-08,88,303.6,4.49,382.0,61.0,122.0,109.0
2025-09-15,89,298.8,4.55,386.0,56.0,122.0,86.0
2025-09-22,90,323.9,4.28,364.0,59.0,107.0,107.0
2025-09-29,91,298.9,3.93,334.0,9.0,115.0,111.0
2025-10-06,92,289.6,4.15,353.0,16.0,125.0,106.0
2025-10-13,93,285.3,3.89,331.0,11.0,125.0,107.0
2025-10-20,94,283.3,4.42,375.0,8.0,124.0,95.0
2025-10-27,95,280.7,4.14,352.0,7.0,118.0,117.0
2025-11-03,96,282.5,4.05,344.0,10.0,132.0,99.0
2025-11-10,97,292.6,3.72,316.0,10.0,143.0,90.0
2025-11-17,98,277.5,3.94,335.0,16.0,120.0,93.0
2025-11-24,99,296.3,3.88,330.0,9.0,131.0,90.0
2025-12-01,100,309.1,3.7,315.0,57.0,136.0,98.0
2025-12-08,101,302.1,4.2,357.0,62.0,132.0,85.0
2025-12-15,102,306.3,4.11,350.0,58.0,121.0,101.0
2025-12-22,103,285.2,4.23,360.0,12.0,125.0,114.0
