access_rule_id,payer_id,payer_type,region,product_name,coverage_status,prior_authorization,step_edit,specialty_pharmacy_required,effective_start,effective_end
AR000071,PAY006,Medicare Part D,Midwest,Vexpro,Covered with Step Edit,No,Yes,No,2024-01-01,2025-12-31
AR000072,PAY006,Medicare Part D,West,Vexpro,Covered with Step Edit,No,Yes,No,2024-01-01,2025-12-31
AR000073,PAY007,Medicaid,Northeast,Roventra,Covered with PA,Yes,Yes,Yes,2024-01-01,2025-12-31
AR000074,PAY007,Medicaid,South,Roventra,Covered with PA,Yes,Yes,Yes,2024-01-01,2025-12-31
AR000075,PAY007,Medicaid,Midwest,Roventra,Covered with PA,Yes,Yes,Yes,2024-01-01,2025-12-31
AR000076,PAY007,Medicaid,West,Roventra,Covered with PA,Yes,Yes,Yes,2024-01-01,2025-12-31
AR000077,PAY007,Medicaid,Northeast,Nexoral,Non-covered,Yes,No,No,2024-01-01,2025-12-31
AR000078,PAY007,Medicaid,South,Nexoral,Non-covered,Yes,No,No,2024-01-01,2025-12-31
AR000079,PAY007,Medicaid,Midwest,Nexoral,Non-covered,Yes,No,No,2024-01-01,2025-12-31
AR000080,PAY007,Medicaid,West,Nexoral,Non-covered,Yes,No,No,2024-01-01,2025-12-31
AR000081,PAY007,Medicaid,Northeast,Vexpro,Covered,No,No,Yes,2024-01-01,2025-12-31
AR000082,PAY007,Medicaid,South,Vexpro,Covered,No,No,Yes,2024-01-01,2025-12-31
AR000083,PAY007,Medicaid,Midwest,Vexpro,Covered,No,No,Yes,2024-01-01,2025-12-31
AR000084,PAY007,Medicaid,West,Vexpro,Covered,No,No,Yes,2024-01-01,2025-12-31
AR000085,PAY008,Commercial,Northeast,Roventra,Covered with PA,Yes,No,Yes,2024-01-01,2025-12-31
AR000086,PAY008,Commercial,South,Roventra,Covered with PA,Yes,No,Yes,2024-01-01,2025-12-31
AR000087,PAY008,Commercial,Midwest,Roventra,Covered with PA,Yes,No,Yes,2024-01-01,2025-12-31
AR000088,PAY008,Commercial,West,Roventra,Covered with PA,Yes,No,Yes,2024-01-01,2025-12-31
AR000089,PAY008,Commercial,Northeast,Nexoral,Non-covered,Yes,No,No,2024-01-01,2025-12-31
AR000090,PAY008,Commercial,South,Nexoral,Non-covered,Yes,No,No,2024-01-01,2025-12-31
AR000091,PAY008,Commercial,Midwest,Nexoral,Non-covered,Yes,No,No,2024-01-01,2025-12-31
AR000092,PAY008,Commercial,West,Nexoral,Non-covered,Yes,No,No,2024-01-01,2025-12-31
AR000093,PAY008,Commercial,Northeast,Vexpro,Covered with Step Edit,No,Yes,No,2024-01-01,2025-12-31
AR000094,PAY008,Commercial,South,Vexpro,Covered with Step Edit,No,Yes,No,2024-01-01,2025-12-31
AR000095,PAY008,Commercial,Midwest,Vexpro,Covered with Step Edit,No,Yes,No,2024-01-01,2025-12-31
AR000096,PAY008,Commercial,West,Vexpro,Covered with Step Edit,No,Yes,No,2024-01-01,2025-12-31
